run_id,executed_at_utc,operator,supplier_name,file_name,file_type,scan_quality,expected_invoice_number,extracted_invoice_number,draft_status,review_required,blocked_reasons,matched_lines,total_lines,confirm_attempted,confirm_status,idempotent_replay,duplicate_check_attempted,duplicate_rejected,stock_delta_verified,ledger_entry_verified,notes
1,2026-04-06T05:59:11Z,codex-local-dryrun,Pilot Supplier PNG Run01,pngcase-fixture-01.png,png,clear,INV-PILOT-PNG-001,INV-PILOT-PNG-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
2,2026-04-06T05:59:11Z,codex-local-dryrun,Pilot Supplier PDF Run02,pdfcase-fixture-02.pdf,pdf,clear,INV-PILOT-PDF-001,INV-PILOT-PDF-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
3,2026-04-06T05:59:11Z,codex-local-dryrun,,force-fail-noisycase-fixture-03.png,png,noisy,,,manual_review_required,true,"[""manual_review_required"",""no_line_items_extracted"",""ocr_provider_unavailable""]",0,0,false,,false,false,false,false,false,dev-fixture dry-run; forced provider failure path
4,2026-04-06T05:59:12Z,codex-local-dryrun,Pilot Supplier Dup,dupcase-second-fixture-04.png,png,noisy,INV-PILOT-DUP-001,INV-PILOT-DUP-001,parsed,false,[],1,1,true,duplicate_rejected,false,true,true,false,false,dev-fixture dry-run; duplicate invoice rejection check
5,2026-04-06T05:59:12Z,codex-local-dryrun,Pilot Supplier Replay Run05,replaycase-fixture-05.png,png,clear,INV-PILOT-REPLAY-001,INV-PILOT-REPLAY-001,parsed,false,[],1,1,true,idempotent_replay,true,false,false,true,true,dev-fixture dry-run; idempotent replay on second confirm
6,2026-04-06T05:59:12Z,codex-local-dryrun,Pilot Supplier PNG Run06,pngcase-fixture-06.png,png,clear,INV-PILOT-PNG-001,INV-PILOT-PNG-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
7,2026-04-06T05:59:12Z,codex-local-dryrun,Pilot Supplier PDF Run07,pdfcase-fixture-07.pdf,pdf,clear,INV-PILOT-PDF-001,INV-PILOT-PDF-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
8,2026-04-06T05:59:12Z,codex-local-dryrun,Pilot Supplier Noisy Run08,noisycase-fixture-08.png,png,noisy,INV-PILOT-NOISY-001,INV-PILOT-NOISY-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
9,2026-04-06T05:59:12Z,codex-local-dryrun,Pilot Supplier Other Run09,othercase-fixture-09.png,png,clear,INV-PILOT-OTHER-001,INV-PILOT-OTHER-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
10,2026-04-06T05:59:12Z,codex-local-dryrun,Pilot Supplier PNG Run10,pngcase-fixture-10.png,png,clear,INV-PILOT-PNG-001,INV-PILOT-PNG-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
11,2026-04-06T05:59:12Z,codex-local-dryrun,Pilot Supplier PDF Run11,pdfcase-fixture-11.pdf,pdf,clear,INV-PILOT-PDF-001,INV-PILOT-PDF-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
12,2026-04-06T05:59:12Z,codex-local-dryrun,Pilot Supplier Noisy Run12,noisycase-fixture-12.png,png,noisy,INV-PILOT-NOISY-001,INV-PILOT-NOISY-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
13,2026-04-06T05:59:12Z,codex-local-dryrun,,force-fail-noisycase-fixture-13.png,png,noisy,,,manual_review_required,true,"[""manual_review_required"",""no_line_items_extracted"",""ocr_provider_unavailable""]",0,0,false,,false,false,false,false,false,dev-fixture dry-run; forced provider failure path
14,2026-04-06T05:59:13Z,codex-local-dryrun,Pilot Supplier PNG Run14,pngcase-fixture-14.png,png,clear,INV-PILOT-PNG-001,INV-PILOT-PNG-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
15,2026-04-06T05:59:13Z,codex-local-dryrun,Pilot Supplier PDF Run15,pdfcase-fixture-15.pdf,pdf,clear,INV-PILOT-PDF-001,INV-PILOT-PDF-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
16,2026-04-06T05:59:13Z,codex-local-dryrun,Pilot Supplier Noisy Run16,noisycase-fixture-16.png,png,noisy,INV-PILOT-NOISY-001,INV-PILOT-NOISY-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
17,2026-04-06T05:59:13Z,codex-local-dryrun,Pilot Supplier Other Run17,othercase-fixture-17.png,png,clear,INV-PILOT-OTHER-001,INV-PILOT-OTHER-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
18,2026-04-06T05:59:13Z,codex-local-dryrun,Pilot Supplier PNG Run18,pngcase-fixture-18.png,png,clear,INV-PILOT-PNG-001,INV-PILOT-PNG-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
19,2026-04-06T05:59:13Z,codex-local-dryrun,Pilot Supplier PDF Run19,pdfcase-fixture-19.pdf,pdf,clear,INV-PILOT-PDF-001,INV-PILOT-PDF-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
20,2026-04-06T05:59:13Z,codex-local-dryrun,Pilot Supplier Noisy Run20,noisycase-fixture-20.png,png,noisy,INV-PILOT-NOISY-001,INV-PILOT-NOISY-001,parsed,false,[],1,1,true,confirmed,false,false,false,true,true,dev-fixture dry-run; not staging signoff evidence
